text|ref-text
欢迎您乘坐二号线|欢迎您乘坐二号线
请把爱心专座留给有需要的乘客|请把爱心专座留给有需要的乘客
本次列车终点站王府庄|本次列车终点站美兰湖
下一站，终点站，王府庄，开左边门|下一站，终点站，浦东国际机场，开左边门
可换乘一号线，请注意换乘列车的首末班车时间|可换乘一号线，请注意换乘列车的首末班车时间
终点站，王府庄到了，开左边门|终点站，浦东国际机场到了，开左边门
本次列车终点站彭家庄|本次列车终点站美兰湖
下一站，腊山南，开左边门|下一站，场中路，开左边门
腊山南到了，开左边门|大场镇到了，开左边门
下一站，腊山，开左边门|下一站，场中路，开左边门
腊山到了，开左边门|大场镇到了，开左边门
下一站，二环西路，开左边门|下一站，场中路，开左边门
二环西路到了，开左边门|大场镇到了，开左边门
下一站，老屯，开左边门|下一站，场中路，开左边门
老屯到了，开左边门|大场镇到了，开左边门
下一站，八里桥，开左边门|下一站，场中路，开左边门
八里桥到了，开左边门|大场镇到了，开左边门
下一站，益康路，开左边门|下一站，场中路，开左边门
益康路到了，开左边门|大场镇到了，开左边门
下一站，济南站北，开左边门|下一站，场中路，开左边门
济南站北到了，开左边门|大场镇到了，开左边门
下一站，济泺路，开左边门|下一站，场中路，开左边门
济泺路到了，开左边门|大场镇到了，开左边门
下一站，生产路，开左边门|下一站，场中路，开左边门
生产路到了，开左边门|大场镇到了，开左边门
下一站，北园，开左边门|下一站，场中路，开左边门
北园到了，开左边门|大场镇到了，开左边门
下一站，历山路，开左边门|下一站，场中路，开左边门
历山路到了，开左边门|大场镇到了，开左边门
下一站，七里堡，开左边门|下一站，场中路，开左边门
七里堡到了，开左边门|大场镇到了，开左边门
下一站，祝甸，开左边门|下一站，场中路，开左边门
祝甸到了，开左边门|大场镇到了，开左边门
下一站，八涧堡，开左边门|下一站，场中路，开左边门
可换乘三号线，请注意换乘列车的首末班车时间|可换乘三号线，请注意换乘列车的首末班车时间
八涧堡到了，开左边门|大场镇到了，开左边门
下一站，姜家庄，开左边门|下一站，场中路，开左边门
姜家庄到了，开左边门|大场镇到了，开左边门
下一站，凤凰路，开左边门|下一站，场中路，开左边门
凤凰路到了，开左边门|大场镇到了，开左边门
下一站，鲍山，开左边门|下一站，场中路，开左边门
鲍山到了，开左边门|大场镇到了，开左边门
下一站，终点站，彭家庄，开左边门|下一站，终点站，浦东国际机场，开左边门
终点站，彭家庄到了，开左边门|终点站，浦东国际机场到了，开左边门
